date,product,category,region,sales,quantity
2025-01-01,Mouse,Accessories,East,1471.0,1
2025-01-02,Monitor,Electronics,North,60242.0,4
2025-01-03,Mouse,Accessories,North,12052.0,10
2025-01-04,Laptop,Electronics,South,100723.0,2
2025-01-05,Laptop,Electronics,West,454203.0,9
2025-01-06,Monitor,Electronics,East,121303.0,8
2025-01-07,Laptop,Electronics,West,151714.0,3
2025-01-08,Printer,Office,South,60259.0,5
2025-01-09,Printer,Office,West,23834.0,2
2025-01-10,Mouse,Accessories,East,7639.0,6
2025-01-11,Headphones,Audio,West,3782.0,1
2025-01-12,Mouse,Accessories,East,8064.0,7
2025-01-13,Printer,Office,North,120896.0,10
2025-01-14,Laptop,Electronics,East,555233.0,11
2025-01-15,Mouse,Accessories,North,5235.0,4
2025-01-16,Tablet,Electronics,East,141364.0,5
2025-01-17,Keyboard,Accessories,South,15013.0,6
2025-01-18,Headphones,Audio,North,42879.0,12
2025-01-19,Keyboard,Accessories,South,22971.0,9
2025-01-20,Keyboard,Accessories,East,20088.0,8
2025-01-21,Monitor,Electronics,North,166482.0,11
2025-01-22,Monitor,Electronics,East,15474.0,1
2025-01-23,Tablet,Electronics,South,140967.0,5
2025-01-24,Printer,Office,West,48651.0,4
2025-01-25,Tablet,Electronics,South,311049.0,11
2025-01-26,Headphones,Audio,East,10357.0,3
2025-01-27,Tablet,Electronics,East,282708.0,10
2025-01-28,Monitor,Electronics,West,45471.0,3
2025-01-29,Mouse,Accessories,North,1593.0,1
2025-01-30,Keyboard,Accessories,West,27438.0,11
2025-01-31,Mouse,Accessories,West,8374.0,7
2025-02-01,Headphones,Audio,North,32511.0,9
2025-02-02,Mouse,Accessories,East,13870.0,11
2025-02-03,Printer,Office,West,24280.0,2
2025-02-04,Keyboard,Accessories,East,19903.0,8
2025-02-05,Keyboard,Accessories,North,23384.0,9
2025-02-06,Headphones,Audio,South,39289.0,11
2025-02-07,Keyboard,Accessories,South,15580.0,6
2025-02-08,Laptop,Electronics,West,509831.0,10
2025-02-09,Laptop,Electronics,East,102451.0,2
2025-02-10,Headphones,Audio,South,13839.0,4
2025-02-11,Mouse,Accessories,West,2697.0,2
2025-02-12,Mouse,Accessories,South,11300.0,9
2025-02-13,Keyboard,Accessories,South,28036.0,11
2025-02-14,Headphones,Audio,West,32523.0,9
2025-02-15,Monitor,Electronics,South,137973.0,9
2025-02-16,Headphones,Audio,East,25177.0,7
2025-02-17,Speaker,Audio,North,41272.0,9
2025-02-18,Monitor,Electronics,East,60765.0,4
2025-02-19,Laptop,Electronics,South,510067.0,10
2025-02-20,Monitor,Electronics,North,14872.0,1
2025-02-21,Monitor,Electronics,North,31027.0,2
2025-02-22,Printer,Office,South,24506.0,2
2025-02-23,Headphones,Audio,South,39267.0,11
2025-02-24,Keyboard,Accessories,West,31057.0,12
2025-02-25,Monitor,Electronics,West,122726.0,8
2025-02-26,Monitor,Electronics,West,30199.0,2
2025-02-27,Printer,Office,West,85600.0,7
2025-02-28,Laptop,Electronics,North,561169.0,11
2025-03-01,Laptop,Electronics,East,360745.0,7
2025-03-02,Mouse,Accessories,South,4640.0,4
2025-03-03,Speaker,Audio,South,13837.0,3
2025-03-04,Headphones,Audio,North,28595.0,8
2025-03-05,Speaker,Audio,North,41315.0,9
2025-03-06,Laptop,Electronics,South,103448.0,2
2025-03-07,Keyboard,Accessories,West,18022.0,7
2025-03-08,Monitor,Electronics,North,108574.0,7
2025-03-09,Keyboard,Accessories,West,17527.0,7
2025-03-10,Headphones,Audio,West,28632.0,8
2025-03-11,Speaker,Audio,East,13599.0,3
2025-03-12,Monitor,Electronics,North,15543.0,1
2025-03-13,Printer,Office,West,11911.0,1
2025-03-14,Keyboard,Accessories,North,3058.0,1
2025-03-15,Keyboard,Accessories,North,5259.0,2
2025-03-16,Monitor,Electronics,South,107772.0,7
2025-03-17,Laptop,Electronics,West,514583.0,10
2025-03-18,Printer,Office,East,61509.0,5
2025-03-19,Monitor,Electronics,South,77155.0,5
2025-03-20,Headphones,Audio,North,28663.0,8
2025-03-21,Laptop,Electronics,North,412136.0,8
2025-03-22,Mouse,Accessories,East,10842.0,9
2025-03-23,Keyboard,Accessories,North,15852.0,6
2025-03-24,Monitor,Electronics,South,92491.0,6
2025-03-25,Speaker,Audio,East,41935.0,9
2025-03-26,Laptop,Electronics,East,566836.0,11
