date,sales_date,product,quantity,sales,sales_amount
2025-01-01,2025-01-01,Men Wear,164,64944,64944
2025-01-02,2025-01-02,Women Wear,94,33370,33370
2025-01-03,2025-01-03,Kids Wear,55,12870,12870
2025-01-04,2025-01-04,Shoes,137,20687,20687
2025-01-05,2025-01-05,Accessories,139,39615,39615
2025-01-06,2025-01-06,Winter Wear,156,46176,46176
2025-01-07,2025-01-07,Casual Wear,148,64232,64232
2025-01-08,2025-01-08,Sports Wear,164,37556,37556
2025-01-09,2025-01-09,Men Wear,88,26488,26488
2025-01-10,2025-01-10,Women Wear,95,17005,17005
2025-01-11,2025-01-11,Kids Wear,178,32218,32218
2025-01-12,2025-01-12,Shoes,120,21480,21480
2025-01-13,2025-01-13,Accessories,52,23348,23348
2025-01-14,2025-01-14,Winter Wear,162,65934,65934
2025-01-15,2025-01-15,Casual Wear,175,40250,40250
2025-01-16,2025-01-16,Sports Wear,54,22140,22140
2025-01-17,2025-01-17,Men Wear,60,14700,14700
2025-01-18,2025-01-18,Women Wear,57,25878,25878
2025-01-19,2025-01-19,Kids Wear,57,28215,28215
2025-01-20,2025-01-20,Shoes,100,35600,35600
2025-01-21,2025-01-21,Accessories,70,30870,30870
2025-01-22,2025-01-22,Winter Wear,103,45938,45938
2025-01-23,2025-01-23,Casual Wear,50,23350,23350
2025-01-24,2025-01-24,Sports Wear,60,21840,21840
2025-01-25,2025-01-25,Men Wear,173,53803,53803
2025-01-26,2025-01-26,Women Wear,106,26924,26924
2025-01-27,2025-01-27,Kids Wear,120,32640,32640
2025-01-28,2025-01-28,Shoes,107,37664,37664
2025-01-29,2025-01-29,Accessories,73,35989,35989
2025-01-30,2025-01-30,Winter Wear,116,44544,44544
2025-01-31,2025-01-31,Casual Wear,120,22440,22440
2025-02-01,2025-02-01,Sports Wear,42,16128,16128
2025-02-02,2025-02-02,Men Wear,65,12155,12155
2025-02-03,2025-02-03,Women Wear,177,45843,45843
2025-02-04,2025-02-04,Kids Wear,169,48165,48165
2025-02-05,2025-02-05,Shoes,73,23944,23944
2025-02-06,2025-02-06,Accessories,57,15675,15675
2025-02-07,2025-02-07,Winter Wear,134,39530,39530
2025-02-08,2025-02-08,Casual Wear,80,29920,29920
2025-02-09,2025-02-09,Sports Wear,179,54416,54416
2025-02-10,2025-02-10,Men Wear,175,26950,26950
2025-02-11,2025-02-11,Women Wear,116,56724,56724
2025-02-12,2025-02-12,Kids Wear,66,14388,14388
2025-02-13,2025-02-13,Shoes,107,22363,22363
2025-02-14,2025-02-14,Accessories,67,29011,29011
2025-02-15,2025-02-15,Winter Wear,79,22831,22831
2025-02-16,2025-02-16,Casual Wear,112,51408,51408
2025-02-17,2025-02-17,Sports Wear,93,30225,30225
2025-02-18,2025-02-18,Men Wear,92,43608,43608
2025-02-19,2025-02-19,Women Wear,107,43656,43656
2025-02-20,2025-02-20,Kids Wear,165,45870,45870
2025-02-21,2025-02-21,Shoes,53,10441,10441
2025-02-22,2025-02-22,Accessories,148,43068,43068
2025-02-23,2025-02-23,Winter Wear,51,7701,7701
2025-02-24,2025-02-24,Casual Wear,125,27000,27000
2025-02-25,2025-02-25,Sports Wear,107,24824,24824
2025-02-26,2025-02-26,Men Wear,153,66096,66096
2025-02-27,2025-02-27,Women Wear,149,65113,65113
2025-02-28,2025-02-28,Kids Wear,42,8694,8694
2025-03-01,2025-03-01,Shoes,59,13334,13334
2025-03-02,2025-03-02,Accessories,179,30072,30072
2025-03-03,2025-03-03,Winter Wear,134,60032,60032
2025-03-04,2025-03-04,Casual Wear,77,28490,28490
2025-03-05,2025-03-05,Sports Wear,72,12312,12312
