date,region,product,quantity,sales
01-01-2025,North,Laptop,104,72363
02-01-2025,South,Mobile,27,14008
03-01-2025,North,Laptop,85,59364
04-01-2025,North,Laptop,21,14147
05-01-2025,North,Mobile,81,39907
06-01-2025,West,Accessories,38,2959
07-01-2025,East,Accessories,113,9820
08-01-2025,South,Laptop,99,69165
09-01-2025,East,Tablet,29,8140
10-01-2025,North,Tablet,21,6078
11-01-2025,East,Laptop,118,82304
12-01-2025,East,Accessories,113,8128
13-01-2025,North,Camera,58,25261
14-01-2025,East,Accessories,116,9567
15-01-2025,East,Accessories,83,6033
16-01-2025,North,Laptop,94,65266
17-01-2025,North,Tablet,119,35176
18-01-2025,West,Laptop,45,31428
19-01-2025,South,Tablet,57,16827
20-01-2025,East,Mobile,99,50418
21-01-2025,South,Laptop,78,55093
22-01-2025,South,Mobile,69,34277
23-01-2025,South,Tablet,97,28764
24-01-2025,South,Laptop,115,79565
25-01-2025,West,Tablet,44,12335
26-01-2025,East,Mobile,37,18842
27-01-2025,West,Camera,92,41339
28-01-2025,East,Mobile,27,13005
29-01-2025,East,Accessories,105,8597
30-01-2025,West,Camera,56,24649
31-01-2025,West,Mobile,21,11047
01-02-2025,North,Laptop,29,20585
02-02-2025,West,Mobile,86,42130
03-02-2025,West,Camera,86,38658
04-02-2025,East,Accessories,80,7162
05-02-2025,North,Laptop,97,68712
06-02-2025,East,Accessories,108,8952
07-02-2025,North,Tablet,47,13990
08-02-2025,West,Mobile,10,5953
09-02-2025,South,Tablet,74,23069
10-02-2025,East,Laptop,117,82208
11-02-2025,South,Accessories,29,2085
12-02-2025,North,Mobile,86,42663
13-02-2025,North,Camera,24,11702
14-02-2025,East,Tablet,40,11118
15-02-2025,North,Mobile,20,10498
16-02-2025,North,Camera,107,48240
17-02-2025,South,Mobile,94,46973
18-02-2025,South,Accessories,43,3520
19-02-2025,West,Accessories,37,3862
20-02-2025,South,Accessories,101,7718
21-02-2025,East,Camera,66,30542
22-02-2025,West,Accessories,25,1507
23-02-2025,North,Mobile,53,25543
24-02-2025,South,Accessories,85,6251
25-02-2025,North,Laptop,100,70292
26-02-2025,South,Laptop,18,13454
27-02-2025,East,Laptop,19,13352
28-02-2025,East,Mobile,95,47494
01-03-2025,South,Mobile,102,51915
02-03-2025,West,Accessories,41,3886
03-03-2025,West,Camera,34,14493
04-03-2025,West,Laptop,55,38367
05-03-2025,West,Camera,120,54493
06-03-2025,North,Laptop,17,11724
07-03-2025,North,Tablet,41,11692
08-03-2025,West,Mobile,27,13364
09-03-2025,East,Mobile,69,34011
10-03-2025,West,Laptop,113,79864
11-03-2025,North,Accessories,16,1615
12-03-2025,North,Accessories,21,2577
13-03-2025,South,Mobile,62,30994
14-03-2025,South,Camera,120,53821
15-03-2025,South,Laptop,58,39604
16-03-2025,East,Camera,110,50107
17-03-2025,East,Camera,64,29226
18-03-2025,West,Accessories,29,1708
19-03-2025,South,Tablet,17,5286
20-03-2025,North,Accessories,105,8042
21-03-2025,North,Laptop,84,58776
22-03-2025,South,Accessories,17,2327
23-03-2025,North,Accessories,118,8820
24-03-2025,North,Laptop,96,67965
25-03-2025,West,Mobile,25,13428
26-03-2025,South,Accessories,84,6937
27-03-2025,North,Laptop,63,44446
28-03-2025,East,Accessories,43,2858
29-03-2025,South,Tablet,43,12710
30-03-2025,East,Mobile,68,33647
31-03-2025,North,Laptop,68,47872
01-04-2025,North,Accessories,19,1621
02-04-2025,East,Mobile,26,13911
03-04-2025,North,Tablet,41,12056
04-04-2025,South,Tablet,66,20507
05-04-2025,East,Accessories,88,7692
06-04-2025,North,Accessories,95,8273
07-04-2025,East,Accessories,94,6732
08-04-2025,East,Mobile,24,12822
09-04-2025,South,Laptop,44,30377
10-04-2025,South,Accessories,101,7782
