date,product,category,region,sales,quantity
01-01-2025,Laptop,Electronics,South,120,164
02-01-2025,Mobile,Electronics,North,90,94
03-01-2025,Tablet,Electronics,East,150,55
04-01-2025,Headphones,Accessories,West,75,137
05-01-2025,Smartwatch,Electronics,South,110,139
06-01-2025,Keyboard,Accessories,North,65,156
07-01-2025,Mouse,Accessories,East,55,148
08-01-2025,Monitor,Electronics,West,140,164
09-01-2025,Printer,Office,South,95,88
10-01-2025,Speaker,Electronics,North,80,95
11-01-2025,Laptop,Electronics,East,130,32
12-01-2025,Mobile,Electronics,West,100,120
13-01-2025,Tablet,Electronics,South,160,52
14-01-2025,Headphones,Accessories,North,78,162
15-01-2025,Smartwatch,Electronics,East,115,175
16-01-2025,Keyboard,Accessories,West,70,54
17-01-2025,Mouse,Accessories,South,60,60
18-01-2025,Monitor,Electronics,North,145,57
19-01-2025,Printer,Office,East,98,57
20-01-2025,Speaker,Electronics,West,85,100
21-01-2025,Laptop,Electronics,South,135,70
22-01-2025,Mobile,Electronics,North,105,103
23-01-2025,Tablet,Electronics,East,170,50
24-01-2025,Headphones,Accessories,West,82,60
25-01-2025,Smartwatch,Electronics,South,120,173
26-01-2025,Keyboard,Accessories,North,72,106
27-01-2025,Mouse,Accessories,East,65,120
28-01-2025,Monitor,Electronics,West,150,47
29-01-2025,Printer,Office,South,102,73
30-01-2025,Speaker,Electronics,North,90,116
01-02-2025,Laptop,Electronics,East,140,120
02-02-2025,Mobile,Electronics,West,110,42
03-02-2025,Tablet,Electronics,South,175,65
04-02-2025,Headphones,Accessories,North,85,177
05-02-2025,Smartwatch,Electronics,East,125,169
06-02-2025,Keyboard,Accessories,West,75,73
07-02-2025,Mouse,Accessories,South,68,57
08-02-2025,Monitor,Electronics,North,155,134
09-02-2025,Printer,Office,East,105,80
10-02-2025,Speaker,Electronics,West,92,179
11-02-2025,Laptop,Electronics,South,145,175
12-02-2025,Mobile,Electronics,North,115,116
13-02-2025,Tablet,Electronics,East,180,66
14-02-2025,Headphones,Accessories,West,88,107
15-02-2025,Smartwatch,Electronics,South,130,67
16-02-2025,Keyboard,Accessories,North,78,79
17-02-2025,Mouse,Accessories,East,70,221
18-02-2025,Monitor,Electronics,West,160,93
19-02-2025,Printer,Office,South,108,92
20-02-2025,Speaker,Electronics,North,96,107
21-02-2025,Laptop,Electronics,East,150,165
22-02-2025,Mobile,Electronics,West,120,53
23-02-2025,Tablet,Electronics,South,190,148
24-02-2025,Headphones,Accessories,North,92,51
25-02-2025,Smartwatch,Electronics,East,138,125
26-02-2025,Keyboard,Accessories,West,82,107
27-02-2025,Mouse,Accessories,South,75,153
28-02-2025,Monitor,Electronics,North,168,149
01-03-2025,Printer,Office,East,112,42
02-03-2025,Speaker,Electronics,West,100,59
